"Personen in bezit van bromfiets; persoonskenmerken"
"Onderwerpen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen";"% Personen in bezit van voertuigen"
"Bromfietssoort";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen";"Bromfietsen"
"Persoonskenmerken";"Totaal persoonskenmerken";"Leeftijd: 16 tot 18 jaar";"Leeftijd: 18 tot 20 jaar";"Leeftijd: 20 tot 25 jaar";"Leeftijd: 25 tot 35 jaar";"Leeftijd: 35 tot 45 jaar";"Leeftijd: 45 tot 55 jaar";"Leeftijd: 55 tot 65 jaar";"Leeftijd: 65 tot 75 jaar";"Leeftijd: 75 jaar of ouder";"Herkomst: autochtoon";"Herkomst: westerse allochtoon";"Herkomst: niet-westerse allochtoon";"Werknemer";"Zelfstandige";"Uitkeringsontvanger";"Pensioenontvanger";"Student";"Overig niet actief /zonder inkomen";"Totaal persoonskenmerken";"Leeftijd: 16 tot 18 jaar";"Leeftijd: 18 tot 20 jaar";"Leeftijd: 20 tot 25 jaar";"Leeftijd: 25 tot 35 jaar";"Leeftijd: 35 tot 45 jaar";"Leeftijd: 45 tot 55 jaar";"Leeftijd: 55 tot 65 jaar";"Leeftijd: 65 tot 75 jaar";"Leeftijd: 75 jaar of ouder";"Herkomst: autochtoon";"Herkomst: westerse allochtoon";"Herkomst: niet-westerse allochtoon";"Werknemer";"Zelfstandige";"Uitkeringsontvanger";"Pensioenontvanger";"Student";"Overig niet actief /zonder inkomen"
"Geslacht";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen"
"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%"
"2010*";"409600";"42300";"33000";"39900";"51900";"75300";"102100";"47700";"13900";"3400";"343600";"33600";"32300";"262800";"33400";"36100";"23200";"36700";"17300";"3.1";"10.6";"8.1";"4.0";"2.6";"3.1";"4.2";"2.2";"1.0";"0.3";"3.2";"2.6";"2.4";"3.8";"3.6";"3.5";"0.9";"4.3";"1.9"
"2011*";"419800";"33200";"35900";"44600";"55200";"73900";"106400";"51800";"15100";"3600";"351200";"34800";"33800";"260200";"37100";"40300";"25100";"42100";"15000";"3.1";"8.4";"8.8";"4.4";"2.8";"3.1";"4.3";"2.4";"1.1";"0.3";"3.3";"2.7";"2.5";"3.8";"3.8";"3.7";"0.9";"4.7";"1.7"
"2012*";"412600";"18500";"36500";"47200";"57700";"70900";"106800";"54000";"17100";"3800";"343900";"35000";"33700";"250200";"38400";"40600";"26100";"45000";"12400";"3.1";"4.7";"9.0";"4.5";"2.9";"3.0";"4.3";"2.5";"1.1";"0.4";"3.2";"2.6";"2.4";"3.7";"3.9";"3.7";"0.9";"4.9";"1.5"
"2013*";"401700";"11700";"26700";"49300";"60200";"68500";"105700";"56500";"19200";"3900";"334100";"34700";"32900";"239700";"39400";"42000";"27200";"42000";"11400";"3.0";"3.0";"6.6";"4.7";"3.0";"3.0";"4.2";"2.6";"1.2";"0.4";"3.1";"2.6";"2.3";"3.6";"3.8";"3.7";"1.0";"4.5";"1.4"
"2014*";"390300";"8100";"16400";"50500";"61700";"65900";"103900";"58400";"21100";"4200";"323700";"34300";"32400";"229600";"40000";"44700";"28100";"36600";"11200";"2.9";"2.1";"4.1";"4.8";"3.0";"3.0";"4.1";"2.7";"1.3";"0.4";"3.0";"2.5";"2.2";"3.5";"3.8";"3.7";"1.0";"3.9";"1.3"
"RDW, CBS 10-8-2016"
